TOTAL REWARD,TILT,CRASH,GOAL,DISTANCEN_STEPS,DONE,ERRORE
-0.31808068359045055,-0.03942842347641192,0,0,-0.026498158737465357,12,False,2.649815873746536
-0.34458089787867446,-0.022574428035751264,0,0,-0.0265002142882239,13,False,2.6500214288223902
-0.37108652027114075,-0.03004707786741982,0,0,-0.026505622392466285,14,False,2.6505622392466286
-0.3975827697146948,-0.01493261764462338,0,0,-0.026496249443554047,15,False,2.6496249443554047
-0.4240869608689264,-0.060296819743902295,0,0,-0.026504191154231575,16,False,2.6504191154231576
-0.45060608814620023,-0.031059471849358217,0,0,-0.026519127277273836,17,False,2.6519127277273835
-0.477123988005954,-0.01446095001671585,0,0,-0.02651789985975376,18,False,2.651789985975376
-0.5036341274363803,-0.005443174563546006,0,0,-0.026510139430426252,19,False,2.651013943042625
-0.5301462779230811,-0.009130899560802201,0,0,-0.026512150486700817,20,False,2.651215048670082
-0.5566631512863301,-0.027097548837494503,0,0,-0.026516873363249056,21,False,2.6516873363249056
-0.5831804374371428,-0.016960243476214026,0,0,-0.02651728615081258,22,False,2.651728615081258
-0.6096906721155814,-0.005252797681087872,0,0,-0.02651023467843856,23,False,2.651023467843856
-0.6361942659895946,-0.04195756933532056,0,0,-0.02650359387401326,24,False,2.650359387401326
-0.6626845345910145,-0.020434308210469574,0,0,-0.02649026860141987,25,False,2.649026860141987
-0.6891821817442155,-0.1092684375891009,0,0,-0.02649764715320104,26,False,2.6497647153201043
-0.7156669242036173,-0.039068083835811306,0,0,-0.026484742459401786,27,False,2.6484742459401787
-0.7421608313957003,-0.05229800947625096,0,0,-0.026493907192083027,28,False,2.6493907192083026
-0.7686599201395174,-0.05643082551258416,0,0,-0.026499088743817095,29,False,2.6499088743817096
-0.7951659831872498,-0.044711564259099425,0,0,-0.026506063047732408,30,False,2.6506063047732407
-0.8216831718724282,-0.02070986568916113,0,0,-0.026517188685178394,31,False,2.6517188685178392
-0.8482013601737951,-0.01791479139172662,0,0,-0.02651818830136691,32,False,2.651818830136691
-0.8747142050445899,-0.0013948042021554522,0,0,-0.026512844870794795,33,False,2.6512844870794794
-0.901221259059803,-0.01773901836148183,0,0,-0.026507054015213135,34,False,2.6507054015213134
-0.9277154885873584,-0.022836831707495092,0,0,-0.026494229527555438,35,False,2.6494229527555437
-0.9541966831769104,-0.008550056662465784,0,0,-0.02648119458955196,36,False,2.648119458955196
-0.9806853537922927,-0.042965848973504354,0,0,-0.026488670615382275,37,False,2.6488670615382275
-1.0071934755304393,-0.042289902501828104,0,0,-0.02650812173814649,38,False,2.650812173814649
-1.0336928577787456,-0.021172344685976337,0,0,-0.026499382248306308,39,False,2.6499382248306307
-1.0601914431227204,-0.011298180339925712,0,0,-0.026498585343974743,40,False,2.6498585343974743
-1.0866918911418781,-0.01389440518812511,0,0,-0.02650044801915779,41,False,2.650044801915779
-1.113191040770509,-0.05027202245420238,0,0,-0.026499149628630776,42,False,2.6499149628630776
-1.1396824724154282,-0.0760541695083182,0,0,-0.026491431644919135,43,False,2.6491431644919134
-1.1661541626106195,-0.05943676360532376,0,0,-0.02647169019519126,44,False,2.647169019519126
-1.192621264972061,-0.055094580267640254,0,0,-0.026467102361441435,45,False,2.6467102361441435
-1.21909199203368,-0.04622110471409834,0,0,-0.02647072706161916,46,False,2.647072706161916
-1.2455771148123758,-0.048926441896470725,0,0,-0.026485122778695667,47,False,2.6485122778695667
-1.2720619092766148,-0.03389250609192192,0,0,-0.02648479446423908,48,False,2.648479446423908
-1.298541531955365,-0.07236529198961432,0,0,-0.02647962267875018,49,False,2.647962267875018
-1.3250083887579471,-0.075847636701809,0,0,-0.026466856802582123,50,False,2.646685680258212
-1.351456636142284,-0.03365693770256958,0,0,-0.026448247384336918,51,False,2.644824738433692
-1.377892441216247,-0.02236459895645395,0,0,-0.026435805073962978,52,False,2.643580507396298
-1.4043491287900816,-0.025485861713130265,0,0,-0.026456687573834587,53,False,2.6456687573834587
-1.4308561169238114,-0.07187477550045818,0,0,-0.026506988133729953,54,False,2.6506988133729954
-1.4573738664888543,-0.003960567702189662,0,0,-0.026517749565042815,55,False,2.6517749565042816
-1.4838875363061004,-0.002723156600184968,0,0,-0.02651366981724603,56,False,2.6513669817246033
-1.5104102811178926,-0.01260795431753851,0,0,-0.02652274481179218,57,False,2.652274481179218
-1.5369324184290976,-0.0137145274188375,0,0,-0.026522137311204955,58,False,2.6522137311204954
-1.563450944311951,-0.026865325354396234,0,0,-0.026518525882853628,59,False,2.651852588285363
-1.5899591563414188,-0.013108778783262462,0,0,-0.02650821202946775,60,False,2.650821202946775
-1.6164657301198566,-0.05500248297230946,0,0,-0.026506573778437858,61,False,2.650657377843786
-1.6429736420273773,-0.024881981819267356,0,0,-0.02650791190752066,62,False,2.650791190752066
-1.6694887306086033,-0.014876367683186908,0,0,-0.026515088581226073,63,False,2.6515088581226074
-1.6959996007052007,-0.00728691711027683,0,0,-0.026510870096597517,64,False,2.6510870096597516
-1.722507684753218,-0.016612238391507144,0,0,-0.02650808404801722,65,False,2.650808404801722
-1.7490207490555574,-0.05680156565127821,0,0,-0.026513064302339562,66,False,2.6513064302339564
-1.7755360035691388,-0.032807906287196605,0,0,-0.026515254513581294,67,False,2.6515254513581294
-1.8020297262424447,-0.023152742533885547,0,0,-0.026493722673305947,68,False,2.6493722673305946
-1.8285002177069791,-0.0502601622691205,0,0,-0.026470491464534285,69,False,2.6470491464534285
-1.8549649803106636,-0.01779989643842141,0,0,-0.026464762603684577,70,False,2.6464762603684577
-1.8814365612832442,-0.07169290180925976,0,0,-0.02647158097258051,71,False,2.647158097258051
-1.907944079938459,-0.08773350284849185,0,0,-0.026507518655214724,72,False,2.6507518655214724
-1.9344325308022483,-0.0460195961001252,0,0,-0.026488450863789294,73,False,2.6488450863789295
-1.960901314862948,-0.07072026641921574,0,0,-0.026468784060699534,74,False,2.6468784060699533
-1.987380318303831,-0.01846491010395312,0,0,-0.026479003440882987,75,False,2.6479003440882987
-2.0138995925829253,-0.08880668597410865,0,0,-0.026519274279094503,76,False,2.6519274279094502
-2.040445538792304,-0.04526800366189041,0,0,-0.02654594620937873,77,False,2.654594620937873
-2.06698670226833,-0.022757484892839436,0,0,-0.026541163476026156,78,False,2.6541163476026157
-2.0935283139173437,-0.031583315013244496,0,0,-0.02654161164901373,79,False,2.654161164901373
-2.120069728009591,-0.03192281483840018,0,0,-0.026541414092247213,80,False,2.6541414092247213
-2.146615263388169,-0.06104623431835995,0,0,-0.026545535378578247,81,False,2.654553537857825
-2.1731491705609836,-0.041082395904994476,0,0,-0.026533907172814536,82,False,2.6533907172814537
-2.199682488422508,-0.02665466333988847,0,0,-0.026533317861524176,83,False,2.6533317861524175
-2.2262183796939676,-0.012944428122061917,0,0,-0.02653589127145975,84,False,2.653589127145975
-2.252759138416598,-0.06424807084154782,0,0,-0.026540758722630196,85,False,2.6540758722630198
-2.279305748637442,-0.0723669448094555,0,0,-0.026546610220844216,86,False,2.654661022084422
